molecule_chembl_id,canonical_smiles,standard_value
CHEMBL85059,Cc1cc(C)cc(S(=O)(=O)c2c(C(N)=O)[nH]c3ccc(Cl)cc23)c1,100000.0
CHEMBL383700,Cc1cc(C)cc(S(=O)(=O)c2c(C(=O)NNC(C)C)[nH]c3ccc(Cl)cc23)c1,20000.0
CHEMBL398174,Cc1cc(C)cc(S(=O)(=O)c2c(C(N)=O)[nH]c3ccc(Cl)c(F)c23)c1,4000.0
CHEMBL500891,CC1(O)C2CC3CC(C2)CC1C3,10800.0
CHEMBL461320,CC1(N)C2CC3CC(C2)CC1C3.Cl,2000.0
CHEMBL506444,CCC1(N)C2CC3CC(C2)CC1C3.Cl,1900.0
CHEMBL461321,CCCC1(N)C2CC3CC(C2)CC1C3.Cl,1700.0
CHEMBL473914,C1CNC2(C1)C1CC3CC(C1)CC2C3.Cl,1800.0
CHEMBL512924,C1CNC2C3CC4CC(C3)CC2(C1)C4,4100.0
CHEMBL509629,CN1CC2C3CC4CC(C3)CC2(C4)C1,2400.0
CHEMBL507920,C1C2CC3CC1CC1(CNCC31)C2,500.0
CHEMBL506994,CN1CCC23CC4CC(CC(C4)C12)C3,7700.0
CHEMBL460221,CCN1CCC23CC4CC(CC(C4)C12)C3,3400.0
CHEMBL448683,C1CC23CC4CC(CC(C4)C2N1)C3,2200.0
CHEMBL513271,C1CC2C3CC4CC(C3)CC2(CN1)C4,600.0
CHEMBL460215,CN1CCCC23CC4CC(CC(C4)C12)C3,4400.0
CHEMBL554168,CC(=O)N[C@@H]1[C@@H](NC(=N)N)C=C(C(=O)O)O[C@H]1[C@H](OC(=O)NCc1cn(CCOCOc2ccc(-c3c4nc(c(-c5ccc(OCOCCn6cc(CNC(=O)O[C@H]([C@H](O)CO)[C@@H]7OC(C(=O)O)=C[C@H](NC(=N)N)[C@H]7NC(C)=O)nn6)cc5)c5ccc([nH]5)c(-c5ccc(OCOCCn6cc(CNC(=O)O[C@H]([C@H](O)CO)[C@@H]7OC(C(=O)O)=C[C@H](NC(=N)N)[C@H]7NC(C)=O)nn6)cc5)c5nc(c(-c6ccc(OCOCCn7cc(CNC(=O)O[C@H]([C@H](O)CO)[C@@H]8OC(C(=O)O)=C[C@H](NC(=N)N)[C@H]8NC(C)=O)nn7)cc6)c6ccc3[nH]6)C=C5)C=C4)cc2)nn1)[C@H](O)CO,2.0
CHEMBL564257,CC(=O)N[C@@H]1[C@@H](NC(=N)N)C=C(C(=O)O)O[C@H]1[C@H](OC(=O)NCc1cn(CCOCCOCCOCCNC(=O)COc2ccc(-c3c4nc(c(-c5ccc(OCC(=O)NCCOCCOCCOCCn6cc(CNC(=O)O[C@H]([C@H](O)CO)[C@@H]7OC(C(=O)O)=C[C@H](NC(=N)N)[C@H]7NC(C)=O)nn6)cc5)c5ccc([nH]5)c(-c5ccc(OCC(=O)NCCOCCOCCOCCn6cc(CNC(=O)O[C@H]([C@H](O)CO)[C@@H]7OC(C(=O)O)=C[C@H](NC(=N)N)[C@H]7NC(C)=O)nn6)cc5)c5nc(c(-c6ccc(OCC(=O)NCCOCCOCCOCCn7cc(CNC(=O)O[C@H]([C@H](O)CO)[C@@H]8OC(C(=O)O)=C[C@H](NC(=N)N)[C@H]8NC(C)=O)nn7)cc6)c6ccc3[nH]6)C=C5)C=C4)cc2)nn1)[C@H](O)CO,0.5
CHEMBL556810,CC(=O)N[C@@H]1[C@@H](NC(=N)N)C=C(C(=O)O)O[C@H]1[C@H](OC(=O)NCc1cn(CCOCCOCCOCCOCCNC(=O)COc2ccc(-c3c4nc(c(-c5ccc(OCC(=O)NCCOCCOCCOCCOCCn6cc(CNC(=O)O[C@H]([C@H](O)CO)[C@@H]7OC(C(=O)O)=C[C@H](NC(=N)N)[C@H]7NC(C)=O)nn6)cc5)c5ccc([nH]5)c(-c5ccc(OCC(=O)NCCOCCOCCOCCOCCn6cc(CNC(=O)O[C@H]([C@H](O)CO)[C@@H]7OC(C(=O)O)=C[C@H](NC(=N)N)[C@H]7NC(C)=O)nn6)cc5)c5nc(c(-c6ccc(OCC(=O)NCCOCCOCCOCCOCCn7cc(CNC(=O)O[C@H]([C@H](O)CO)[C@@H]8OC(C(=O)O)=C[C@H](NC(=N)N)[C@H]8NC(C)=O)nn7)cc6)c6ccc3[nH]6)C=C5)C=C4)cc2)nn1)[C@@H](O)CO,0.1
CHEMBL569437,COC(=O)[C@@H]1NC(=O)[C@H]2NC(=O)[C@H](NC(=O)[C@@H]3NC(=O)[C@H]4NC(=O)[C@H](NC(=O)[C@H](N=[N+]=[N-])c5ccc(O)c(c5)Oc5cc4cc(O)c5C)[C@H](O)c4ccc(cc4)Oc4cc3cc(c4O)Oc3ccc(cc3)[C@H]2O)c2ccc(O)c(c2)-c2c(O)cc(O)cc21,20000.0
CHEMBL577521,CCCCCCCCCCOCc1cn([C@H]2C(=O)N[C@H]3C(=O)N[C@H](C(=O)N[C@H]4C(=O)N[C@H]5C(=O)N[C@H](C(=O)N[C@@H](C(=O)OC)c6cc(O)cc(O)c6-c6cc5ccc6O)[C@H](O)c5ccc(cc5)Oc5cc4cc(c5O)Oc4ccc(cc4)[C@H]3O)c3cc(O)c(C)c(c3)Oc3cc2ccc3O)nn1,200.0
CHEMBL498879,C[C@@H]1O[C@@H](OC[C@H]2O[C@@H](Oc3c(-c4ccc(O)cc4)oc4cc(O)cc(O)c4c3=O)[C@H](O)[C@@H](O)[C@@H]2O)[C@H](O)[C@H](O)[C@H]1O,72900.0
CHEMBL596219,O=c1c(O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)c(-c2ccc(O)cc2)oc2c(O[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)c(O)cc(O)c12,100000.0
CHEMBL596218,C[C@@H]1O[C@@H](Oc2cc(O)c3c(=O)c(O)c(-c4ccc(O)cc4)oc3c2O)[C@H](O)[C@H](O[C@H]2O[C@@H](CO)[C@H](O)[C@@H](O)[C@@H]2O)[C@H]1O,35100.0
CHEMBL596258,C[C@@H]1OC(Oc2cc(O)c3c(=O)c(O)c(-c4ccc(O)cc4)oc3c2O)[C@H](O)[C@H](O)[C@H]1O,49600.0
CHEMBL594871,COc1cc([C@H]2Oc3cc(O)c4c(=O)c(O)c(-c5ccc(O)cc5)oc4c3O[C@@H]2CO)ccc1O,29300.0
CHEMBL253570,O=c1c(O)c(-c2ccc(O)c(O)c2)oc2c(O)c(O)cc(O)c12,36300.0
CHEMBL611029,O=c1c(O)c(-c2ccc(O)cc2)oc2c(O)c(O)cc(O)c12,23000.0
CHEMBL50,O=c1c(O)c(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12,133600.0
CHEMBL150,O=c1c(O)c(-c2ccc(O)cc2)oc2cc(O)cc(O)c12,18500.0
CHEMBL330645,O=C(/C=C/CCc1ccc(O)cc1)CCc1ccc(O)cc1,282800.0
CHEMBL464274,O=C(/C=C/CCc1ccc(O)c(O)c1)CCc1ccc(O)c(O)c1,350000.0
CHEMBL455297,O=C(CCc1ccc(O)c(O)c1)C[C@@H](O)CCc1ccc(O)c(O)c1,350000.0
CHEMBL464570,O=C(CCc1ccc(O)c(O)c1)C[C@H](CCc1ccc(O)c(O)c1)O[C@@H]1OC[C@@H](O)[C@H](O)[C@H]1O,350000.0
CHEMBL590724,O=C(CCc1ccc(O)c(O)c1)C[C@H](CCc1ccc(O)c(O)c1)O[C@@H]1OC[C@@H](O)[C@H](O)[C@H]1OC(=O)/C=C/c1ccc(O)cc1,350000.0
CHEMBL590725,COc1cc(/C=C/C(=O)O[C@H]2[C@H](O[C@@H](CCc3ccc(O)c(O)c3)CC(=O)CCc3ccc(O)c(O)c3)OC[C@@H](O)[C@@H]2O)ccc1O,350000.0
CHEMBL604084,O=C(CCc1ccc(O)c(O)c1)C[C@H](CCc1cccc(O)c1)O[C@@H]1OC[C@@H](O)[C@H](O)[C@H]1O,350000.0
CHEMBL598970,O=C(CCc1ccc(O)cc1)C[C@H](CCc1ccc(O)c(O)c1)O[C@@H]1OC[C@@H](O)[C@H](O)[C@H]1O,350000.0
CHEMBL596919,O=C(CCc1ccc(O)cc1)C[C@H](CCc1cccc(O)c1)O[C@@H]1OC[C@@H](O)[C@H](O)[C@H]1O,56100.0
CHEMBL1087992,O=C(CCc1ccc(O)cc1)C[C@@H](O)CCc1ccc(O)cc1,29900.0
CHEMBL228449,O=C(CCc1ccc(O)cc1)C[C@H](CCc1ccc(O)cc1)O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O,105000.0
CHEMBL1077034,COc1cc(/C=C/C(=O)CC(=O)/C=C/c2ccc(OC(=O)[C@H](Cc3ccccc3)NC(=O)[C@@H](N)Cc3c[nH]c4ccccc34)c(OC)c2)ccc1OC(=O)[C@H](Cc1ccccc1)NC(=O)[C@@H](N)Cc1c[nH]c2ccccc12,96.0
CHEMBL1077033,CCCCCCCCCC(=O)Oc1ccc(/C=C/C(=O)CC(=O)/C=C/c2ccc(OC(=O)CCCCCCCCC)c(OC)c2)cc1OC,147.0
CHEMBL1077031,COc1cc(/C=C/C(=O)CC(=O)/C=C/c2ccc(OC(=O)CCC(NC(=O)c3ccc(NCc4cnc5nc(N)[nH]c(=O)c5n4)cc3)C(=O)O)c(OC)c2)ccc1OC(=O)CCC(NC(=O)c1ccc(NCc2cnc3nc(N)[nH]c(=O)c3n2)cc1)C(=O)O,82.0
CHEMBL1077035,COc1cc(/C=C/C(=O)C(CCOC(=O)CCC(NC(=O)c2ccc(NCc3cnc4nc(N)[nH]c(=O)c4n3)cc2)C(=O)O)C(=O)/C=C/c2ccc(O)c(OC)c2)ccc1O,11.0
CHEMBL1077036,COc1cc(/C=C/C(=O)CC(=O)/C=C/c2ccc(OCCOC(=O)CCC(NC(=O)c3ccc(NCc4cnc5nc(N)[nH]c(=O)c5n4)cc3)C(=O)O)c(OC)c2)ccc1O,119.0
CHEMBL116438,COc1cc(/C=C/C(=O)/C=C(O)/C=C/c2ccc(O)c(OC)c2)ccc1O,271.0
CHEMBL1089302,Nc1ccn([C@@H]2C[C@H](CO)[C@@H](O)[C@H]2O)c(=O)n1,1600.0
CHEMBL1089502,Nc1ccn([C@H]2C[C@@H](CO)[C@H](O)[C@@H]2O)c(=O)n1,41000.0
CHEMBL1089305,C[C@H](NP(=O)(OC[C@H]1O[C@@H](n2cnc(C(N)=O)n2)[C@H](O)[C@@H]1O)Oc1cccc2ccccc12)C(=O)OCc1ccccc1,18000.0
CHEMBL1089306,NC(=O)c1ncn([C@@H]2O[C@H](COP(=O)(N[C@@H](Cc3ccccc3)C(=O)OCc3ccccc3)Oc3cccc4ccccc34)[C@@H](O)[C@H]2O)n1,100000.0
CHEMBL1089307,NC(=O)c1ncn([C@@H]2O[C@H](COP(=O)(NCC(=O)OCc3ccccc3)Oc3cccc4ccccc34)[C@@H](O)[C@H]2O)n1,20000.0
